Index,Basis,Filter,Time,Min,Max,Std Dev,Variation,Range,Mean,Median,Kurtosis,Skewness,NaN Count
0,emm_exi_l2a_20211224T102942_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:29:42.98,-17.875732,2502.1216,771.17444,594710.0,2519.9973,828.4852,725.3562,-1.3615326,"(0.3435582,)",9435511
1,emm_exi_l2a_20211224T103442_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:34:42.98,-16.738403,2516.6665,773.0645,597628.75,2533.4048,828.63696,721.64514,-1.3644496,"(0.3457562,)",9424751
2,emm_exi_l2a_20211224T103942_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:39:42.97,-15.780762,2505.8328,775.63763,601613.75,2521.6135,830.0897,720.2086,-1.3690786,"(0.34725446,)",9417635
3,emm_exi_l2a_20211224T104442_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:44:42.97,-14.583618,2540.6091,780.1529,608638.56,2555.1929,836.6955,723.08167,-1.3700657,"(0.34773985,)",9414671
4,emm_exi_l2a_20211224T104942_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:49:42.97,-14.344238,2548.2705,779.3484,607383.9,2562.6147,831.93744,712.36743,-1.3718425,"(0.3527359,)",9400359
5,emm_exi_l2a_20211224T105442_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:54:42.96,-15.0625,2540.8484,780.9634,609903.8,2555.911,830.5071,706.2621,-1.3736635,"(0.3557435,)",9391017
6,emm_exi_l2a_20211224T105942_0151_xos7_f635_f_v06-02,F635,2021-12-24T10:59:42.96,-15.242065,2542.4646,782.4127,612169.7,2557.7065,830.2869,699.85754,-1.3787291,"(0.35714355,)",9394913
7,emm_exi_l2a_20211224T110442_0151_xos7_f635_f_v06-02,F635,2021-12-24T11:04:42.96,-15.900513,2532.4688,782.4877,612286.94,2548.3691,830.28265,695.9669,-1.3811948,"(0.35807422,)",9388201
8,emm_exi_l2a_20211224T110942_0151_xos7_f635_f_v06-02,F635,2021-12-24T11:09:42.95,-14.82312,2545.0981,782.1874,611817.06,2559.9214,826.2778,687.58704,-1.3839763,"(0.36159828,)",9382391
9,emm_exi_l2a_20211224T111442_0151_xos7_f635_f_v06-02,F635,2021-12-24T11:14:42.95,-15.122314,2567.9634,785.7675,617430.56,2583.0857,829.2399,687.7068,-1.3874522,"(0.36327282,)",9375700
10,emm_exi_l2a_20211224T111942_0151_xos7_f635_f_v06-02,F635,2021-12-24T11:19:42.95,-16.499023,2539.831,784.4736,615398.8,2556.33,824.74744,681.2423,-1.3905898,"(0.3662693,)",9364529
11,emm_exi_l2a_20211224T103007_0151_xos7_f320_f_v06-02,F320,2021-12-24T10:30:07.00,-14.344238,3556.126,807.63806,652279.25,3570.4702,937.9915,940.1195,-0.35103646,"(0.5410691,)",9426840
12,emm_exi_l2a_20211224T103506_0151_xos7_f320_f_v06-02,F320,2021-12-24T10:35:06.99,-16.977905,3603.831,801.1046,641768.56,3620.809,927.2324,931.0214,-0.3812218,"(0.5320627,)",9422347
13,emm_exi_l2a_20211224T104006_0151_xos7_f320_f_v06-02,F320,2021-12-24T10:40:06.99,-17.696167,3620.8901,811.4895,658515.2,3638.5864,932.7655,928.7469,-0.29025033,"(0.57407063,)",9408042
14,emm_exi_l2a_20211224T104506_0151_xos7_f320_f_v06-02,F320,2021-12-24T10:45:06.99,-16.977905,3651.7158,814.22687,662965.44,3668.6938,934.69855,928.3279,-0.26629147,"(0.5862257,)",9403200
15,emm_exi_l2a_20211224T105006_0151_xos7_f320_f_v06-02,F320,2021-12-24T10:50:06.99,-18.89331,3683.6191,809.42944,655176.0,3702.5125,924.9496,918.2122,-0.26969475,"(0.58854884,)",9394061
16,emm_exi_l2a_20211224T105506_0151_xos7_f320_f_v06-02,F320,2021-12-24T10:55:06.98,-19.491821,3669.254,811.09955,657882.5,3688.7456,925.4214,916.5961,-0.2500097,"(0.5991353,)",9392113
17,emm_exi_l2a_20211224T110006_0151_xos7_f320_f_v06-02,F320,2021-12-24T11:00:06.98,-33.019287,3732.761,805.9804,649604.44,3765.7803,917.5174,909.11414,-0.2494603,"(0.60063064,)",9388943
18,emm_exi_l2a_20211224T110506_0151_xos7_f320_f_v06-02,F320,2021-12-24T11:05:06.98,-19.551636,3698.0444,804.064,646518.94,3717.5962,913.46173,904.9841,-0.23696065,"(0.60799986,)",9374599
19,emm_exi_l2a_20211224T111006_0151_xos7_f320_f_v06-02,F320,2021-12-24T11:10:06.97,-16.319458,3694.6924,811.7261,658899.2,3711.0117,921.3458,908.09656,-0.18828788,"(0.630105,)",9376038
20,emm_exi_l2a_20211224T111506_0151_xos7_f320_f_v06-02,F320,2021-12-24T11:15:06.97,-16.139893,3686.6719,800.23834,640381.4,3702.8118,906.7012,898.9386,-0.23019941,"(0.6129026,)",9370104
21,emm_exi_l2a_20211224T112006_0151_xos7_f320_f_v06-02,F320,2021-12-24T11:20:06.97,-15.122314,3664.2856,803.56146,645711.06,3679.408,904.67834,893.0129,-0.18145944,"(0.6371363,)",9360702
