Index,Basis,Filter,Time,Min,Max,Std Dev,Variation,Range,Mean,Median,Kurtosis,Skewness,NaN Count
0,emm_exi_l2a_20231023T105626_0443_xos7_f635_r_v06-08,F635,2023-10-23T10:56:26.81,-17.154663,2385.359,686.1244,470766.66,2402.5137,521.8811,43.19055,-0.4552885,"(1.0021592,)",9214220
1,emm_exi_l2a_20231023T112629_0443_xos7_f635_r_v06-08,F635,2023-10-23T11:26:29.79,-19.057129,2385.7751,676.0251,457009.94,2404.8323,510.83627,32.90515,-0.442585,"(1.0087836,)",9215861
2,emm_exi_l2a_20231023T115632_0443_xos7_f635_r_v06-08,F635,2023-10-23T11:56:32.77,-16.738525,2376.6787,670.01,448913.4,2393.4172,503.36783,26.721924,-0.428156,"(1.0186019,)",9230540
3,emm_exi_l2a_20231023T105650_0443_xos7_f320_r_v06-08,F320,2023-10-23T10:56:50.83,-18.403198,3725.7964,689.5895,475533.62,3744.1997,560.09094,154.19019,0.17936856,"(1.0422657,)",9224365
4,emm_exi_l2a_20231023T112653_0443_xos7_f320_r_v06-08,F320,2023-10-23T11:26:53.81,-16.14392,3480.729,694.2441,481974.84,3496.873,553.12354,117.56677,0.2752129,"(1.0901242,)",9220387
5,emm_exi_l2a_20231023T115656_0443_xos7_f320_r_v06-08,F320,2023-10-23T11:56:56.79,-18.640991,3477.5186,697.4789,486476.75,3496.1597,544.8263,88.672485,0.38678855,"(1.1377281,)",9229105
