Index,Basis,Filter,Time,Min,Max,Std Dev,Variation,Range,Mean,Median,Kurtosis,Skewness,NaN Count
0,emm_exi_l2a_20231023T053949_0443_xos7_f635_r_v06-08,F635,2023-10-23T05:39:49.83,-17.445679,2401.2297,679.8307,462169.78,2418.6753,613.7501,402.85645,-0.6591432,"(0.77815354,)",9305053
1,emm_exi_l2a_20231023T060952_0443_xos7_f635_r_v06-08,F635,2023-10-23T06:09:52.81,-16.47644,2426.4297,685.38654,469754.7,2442.9062,603.28345,346.52722,-0.588301,"(0.8289061,)",9280030
2,emm_exi_l2a_20231023T063955_0443_xos7_f635_r_v06-08,F635,2023-10-23T06:39:55.79,-18.35791,2420.443,689.8567,475902.22,2438.801,590.8504,297.9519,-0.5416946,"(0.87397933,)",9268083
3,emm_exi_l2a_20231023T054013_0443_xos7_f320_r_v06-08,F320,2023-10-23T05:40:13.85,-18.984985,3569.204,816.1766,666144.2,3588.189,830.18945,797.9586,-0.6517645,"(0.556663,)",9290601
4,emm_exi_l2a_20231023T061016_0443_xos7_f320_r_v06-08,F320,2023-10-23T06:10:16.83,-17.844727,3216.292,783.5688,613980.0,3234.1367,787.5781,734.2177,-0.83637094,"(0.53401047,)",9278105
5,emm_exi_l2a_20231023T064019_0443_xos7_f320_r_v06-08,F320,2023-10-23T06:40:19.81,-16.077393,3364.8115,753.2748,567422.94,3380.889,741.52264,665.68774,-0.87658936,"(0.5527463,)",9265294
