Index,Basis,Filter,Time,Min,Max,Std Dev,Variation,Range,Mean,Median,Kurtosis,Skewness,NaN Count
0,emm_exi_l2a_20231023T081809_0443_xos7_f635_r_v06-08,F635,2023-10-23T08:18:09.72,-19.008057,2439.6687,705.4854,497709.7,2458.6768,566.61816,159.58264,-0.5013458,"(0.9509802,)",9236180
1,emm_exi_l2a_20231023T084812_0443_xos7_f635_r_v06-08,F635,2023-10-23T08:48:12.70,-18.721191,2422.4004,703.75653,495273.25,2441.1216,557.6546,129.349,-0.5120366,"(0.9585534,)",9228659
2,emm_exi_l2a_20231023T091815_0443_xos7_f635_r_v06-08,F635,2023-10-23T09:18:15.68,-20.671753,2417.6963,700.97485,491365.78,2438.3682,551.3383,107.66333,-0.5148858,"(0.9629427,)",9223528
3,emm_exi_l2a_20231023T081833_0443_xos7_f320_r_v06-08,F320,2023-10-23T08:18:33.74,-18.032837,3434.2231,705.3974,497585.47,3452.2559,641.48047,444.65076,-0.53198177,"(0.7453874,)",9228802
4,emm_exi_l2a_20231023T084836_0443_xos7_f320_r_v06-08,F320,2023-10-23T08:48:36.72,-16.655884,3557.567,704.2498,495967.84,3574.2227,624.7757,383.60974,-0.38895586,"(0.8177686,)",9219614
5,emm_exi_l2a_20231023T091839_0443_xos7_f320_r_v06-08,F320,2023-10-23T09:18:39.70,-18.4917,3627.787,699.6594,489523.3,3646.2788,606.4352,323.4867,-0.28438574,"(0.87028766,)",9219810
