Index,Basis,Filter,Time,Min,Max,Std Dev,Variation,Range,Mean,Median,Kurtosis,Skewness,NaN Count
0,emm_exi_l2a_20211204T003129_0142_xos7_f635_f_v06-02,F635,2021-12-04T00:31:29.53,-15.685059,2582.8374,763.5654,583032.1,2598.5225,747.70215,496.03357,-1.4608898,"(0.43130228,)",9363199
1,emm_exi_l2a_20211204T003629_0142_xos7_f635_f_v06-02,F635,2021-12-04T00:36:29.53,-16.901367,2587.4172,762.7214,581743.9,2604.3186,745.789,495.89038,-1.4564496,"(0.4353843,)",9360428
2,emm_exi_l2a_20211204T004129_0142_xos7_f635_f_v06-02,F635,2021-12-04T00:41:29.53,-15.470215,2586.8447,760.0033,577605.0,2602.315,740.3512,489.02075,-1.4487252,"(0.44367337,)",9352532
3,emm_exi_l2a_20211204T004629_0142_xos7_f635_f_v06-02,F635,2021-12-04T00:46:29.52,-18.547363,2587.3457,758.04565,574633.25,2605.893,734.8411,483.00977,-1.443834,"(0.44937515,)",9348632
4,emm_exi_l2a_20211204T005129_0142_xos7_f635_f_v06-02,F635,2021-12-04T00:51:29.52,-15.041016,2550.2065,754.8364,569778.06,2565.2476,731.58765,481.22083,-1.4369189,"(0.45534045,)",9337664
5,emm_exi_l2a_20211204T005629_0142_xos7_f635_f_v06-02,F635,2021-12-04T00:56:29.52,-17.187744,2557.0046,753.1605,567250.75,2574.1924,724.71075,472.276,-1.4304641,"(0.46320757,)",9334864
6,emm_exi_l2a_20211204T010129_0142_xos7_f635_f_v06-02,F635,2021-12-04T01:01:29.51,-18.189453,2558.2212,750.225,562837.5,2576.4106,720.97327,468.26868,-1.4220169,"(0.4687008,)",9330803
7,emm_exi_l2a_20211204T010629_0142_xos7_f635_f_v06-02,F635,2021-12-04T01:06:29.51,-17.831787,2543.4084,748.0827,559627.75,2561.2402,715.9543,457.39172,-1.4145206,"(0.47573856,)",9321044
8,emm_exi_l2a_20211204T011129_0142_xos7_f635_f_v06-02,F635,2021-12-04T01:11:29.50,-18.761963,2540.1882,745.5298,555814.6,2558.9502,711.4513,450.66516,-1.4075744,"(0.4818683,)",9321662
9,emm_exi_l2a_20211204T011629_0142_xos7_f635_f_v06-02,F635,2021-12-04T01:16:29.50,-20.622559,2527.9517,744.4009,554132.6,2548.5742,707.27264,443.9386,-1.4004472,"(0.48873457,)",9320940
10,emm_exi_l2a_20211204T003153_0142_xos7_f320_f_v06-02,F320,2021-12-04T00:31:53.55,-18.11792,4426.1973,827.28375,684398.4,4444.3154,810.2775,716.2206,1.2592824,"(1.1253675,)",9356091
11,emm_exi_l2a_20211204T003653_0142_xos7_f320_f_v06-02,F320,2021-12-04T00:36:53.55,-16.114258,4431.9224,824.05225,679062.06,4448.0366,810.56506,719.94165,1.1379492,"(1.097094,)",9352116
12,emm_exi_l2a_20211204T004153_0142_xos7_f320_f_v06-02,F320,2021-12-04T00:41:53.55,-17.760254,4347.411,817.4609,668242.25,4365.1714,800.808,708.7069,1.0619978,"(1.0810083,)",9348998
13,emm_exi_l2a_20211204T004653_0142_xos7_f320_f_v06-02,F320,2021-12-04T00:46:53.54,-17.974854,4363.2256,811.59076,658679.56,4381.2,794.3082,702.12354,0.9698725,"(1.0617694,)",9344147
14,emm_exi_l2a_20211204T005153_0142_xos7_f320_f_v06-02,F320,2021-12-04T00:51:53.54,-19.83545,4392.851,803.91724,646282.94,4412.6865,787.36224,697.82996,0.86410356,"(1.036353,)",9332632
15,emm_exi_l2a_20211204T005653_0142_xos7_f320_f_v06-02,F320,2021-12-04T00:56:53.53,-17.402344,4428.416,796.3138,634115.6,4445.8184,779.25476,687.81177,0.78288525,"(1.0182558,)",9330633
16,emm_exi_l2a_20211204T010153_0142_xos7_f320_f_v06-02,F320,2021-12-04T01:01:53.53,-24.128906,4437.79,791.8873,627085.56,4461.919,775.94525,683.5182,0.6897093,"(0.99625754,)",9328239
17,emm_exi_l2a_20211204T010653_0142_xos7_f320_f_v06-02,F320,2021-12-04T01:06:53.53,-81.30444,4481.656,789.416,623177.6,4562.96,770.41754,674.5017,0.6147858,"(0.98149884,)",9321203
18,emm_exi_l2a_20211204T011153_0142_xos7_f320_f_v06-02,F320,2021-12-04T01:11:53.52,-109.85669,4498.9014,781.1816,610244.6,4608.758,761.251,664.6266,0.5502849,"(0.9665821,)",9319448
19,emm_exi_l2a_20211204T011653_0142_xos7_f320_f_v06-02,F320,2021-12-04T01:16:53.52,-113.5061,4536.1836,780.5791,609303.7,4649.6895,760.90955,661.6211,0.45156598,"(0.9454534,)",9314990
