File Name,Pixels-Y,Pixels-X,Intensity Min,Intensity Max,Intensity Range,Mean Intensity,Median Intensity,Standard Deviation,Variance,Skewness,Kurtosis
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T10_30_07.00.png,1000,1500,0.0,1.0,1.0,0.2856898091503268,0.2627450980392157,0.10136674252375479,0.010275216489877196,2.067906789051114,6.503747892609701
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T10_35_06.99.png,1000,1500,0.0,1.0,1.0,0.3063087581699345,0.2823529411764706,0.09692733469264407,0.009394908210619843,2.1158377201781895,6.827041416782326
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T10_40_06.99.png,1000,1500,0.0,1.0,1.0,0.2811421333333333,0.2549019607843137,0.09958840645105833,0.009917850699461198,2.1231823258955074,6.833844540661981
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T10_45_06.99.png,1000,1500,0.0,1.0,1.0,0.27697802091503265,0.2549019607843137,0.0992663649674798,0.009853811213856901,2.1450697971231327,6.958810800150107
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T10_50_06.99.png,1000,1500,0.0,1.0,1.0,0.2895189385620913,0.26666666666666666,0.09743131045217256,0.009492860256427628,2.1803494298922086,7.197516695811497
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T10_55_06.98.png,1000,1500,0.0,1.0,1.0,0.2648260705882354,0.23529411764705882,0.10013803371207701,0.010027625795721072,2.199067666936272,7.285957809208914
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T11_00_06.98.png,1000,1500,0.0,1.0,1.0,0.2553163503267973,0.23137254901960785,0.09901821682776223,0.009804607263749734,2.229366867909663,7.468616887616938
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T11_05_06.98.png,1000,1500,0.0,1.0,1.0,0.24667493333333332,0.2196078431372549,0.1006068061560765,0.010121729444926352,2.248356001198704,7.594854947398441
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T11_10_06.97.png,1000,1500,0.0,1.0,1.0,0.23578310588235288,0.2117647058823529,0.1008818451231947,0.010177146675460243,2.257742199227631,7.629752689504929
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T11_15_06.97.png,1000,1500,0.0,1.0,1.0,0.20198254117647058,0.17254901960784313,0.10394445424807594,0.010804449568930351,2.297850089303979,7.859817396506549
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/24_12_2021\cropped_image_2021-12-24T11_20_06.97.png,1000,1500,0.0,1.0,1.0,0.2345658771241831,0.20392156862745098,0.10112424018029,0.010226111952040977,2.2896038278795583,7.796231462199544
