File Name,Pixels-Y,Pixels-X,Intensity Min,Intensity Max,Intensity Range,Mean Intensity,Median Intensity,Standard Deviation,Variance,Skewness,Kurtosis
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T00_31_53.55.png,800,1300,0.0,1.0,1.0,0.26665234162895923,0.22745098039215686,0.13959214216382654,0.019485966153885956,1.5984235732664787,2.5270118958267234
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T00_36_53.55.png,800,1300,0.0,1.0,1.0,0.22642430995475105,0.1843137254901961,0.14740400201866968,0.02172793981111998,1.5862514942039632,2.4425548845654697
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T00_41_53.55.png,800,1300,0.0,1.0,1.0,0.21763763951734527,0.17254901960784313,0.1505439304483061,0.022663474994824424,1.5645410349347868,2.3239129295402194
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T00_46_53.54.png,800,1300,0.0,1.0,1.0,0.2521803770739065,0.20392156862745098,0.1462186654672189,0.021379898131014475,1.541503071785703,2.207619361926619
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T00_51_53.54.png,800,1300,0.0,1.0,1.0,0.24771886500754148,0.20392156862745098,0.14699130402778562,0.021606443459788904,1.5211715999028554,2.099622021308153
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T00_56_53.53.png,800,1300,0.0,1.0,1.0,0.24477394796380098,0.2,0.14660211257574315,0.021492179411670868,1.4995462689007362,1.9875593850415814
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T01_01_53.53.png,800,1300,0.0,1.0,1.0,0.23161644796380096,0.1843137254901961,0.1536257731320468,0.02360087817041912,1.4798265056467872,1.894294089369454
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T01_06_53.53.png,800,1300,0.0,1.0,1.0,0.24138163650075414,0.18823529411764706,0.15504487772005351,0.024038914107226344,1.455072935929771,1.7791924245620332
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T01_11_53.52.png,800,1300,0.0,1.0,1.0,0.24932714177978885,0.20392156862745098,0.15328790453774474,0.023497181677572747,1.4306202791359515,1.669418387416107
C:/Users/Lenovo/Desktop/image_material/03_cropped_images/04_12_2021\cropped_image_2021-12-04T01_16_53.52.png,800,1300,0.0,1.0,1.0,0.24597953619909507,0.196078431372549,0.15722221058528196,0.02471882350132275,1.4118790217470785,1.5953070994220178
